# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-17.90,1.79E-03,7.73E+00
-17.80,1.79E-03,7.73E+00
-17.70,1.79E-03,7.73E+00
-17.60,1.79E-03,7.73E+00
-17.50,1.79E-03,7.73E+00
-17.40,1.79E-03,7.73E+00
-17.30,1.79E-03,7.73E+00
-17.20,1.79E-03,7.73E+00
-17.10,1.79E-03,7.73E+00
-17.00,1.79E-03,7.73E+00
-16.90,1.79E-03,7.73E+00
-16.80,1.79E-03,7.73E+00
-16.70,1.79E-03,7.73E+00
-16.60,1.79E-03,7.73E+00
-16.50,1.79E-03,7.73E+00
-16.40,1.79E-03,7.73E+00
-16.30,1.79E-03,7.73E+00
-16.20,1.79E-03,7.73E+00
-16.10,1.79E-03,7.73E+00
-16.00,1.79E-03,7.73E+00
-15.90,1.79E-03,7.73E+00
-15.80,1.79E-03,7.73E+00
-15.70,1.79E-03,7.73E+00
-15.60,1.79E-03,7.73E+00
-15.50,1.79E-03,7.73E+00
-15.40,1.79E-03,7.73E+00
-15.30,1.79E-03,7.73E+00
-15.20,1.79E-03,7.73E+00
-15.10,1.79E-03,7.73E+00
-15.00,1.79E-03,7.73E+00
-14.90,1.79E-03,7.73E+00
-14.80,1.79E-03,7.73E+00
-14.70,1.79E-03,7.73E+00
-14.60,1.79E-03,7.73E+00
-14.50,1.79E-03,7.73E+00
-14.40,1.79E-03,7.73E+00
-14.30,1.79E-03,7.73E+00
-14.20,1.79E-03,7.73E+00
-14.10,1.79E-03,7.73E+00
-14.00,1.79E-03,7.73E+00
-13.90,1.79E-03,7.73E+00
-13.80,1.79E-03,7.73E+00
-13.70,1.79E-03,7.73E+00
-13.60,1.79E-03,7.73E+00
-13.50,1.79E-03,7.73E+00
-13.40,1.79E-03,7.73E+00
-13.30,1.79E-03,7.73E+00
-13.20,1.79E-03,7.73E+00
-13.10,1.79E-03,7.73E+00
-13.00,1.79E-03,7.73E+00
-12.90,1.79E-03,7.73E+00
-12.80,1.79E-03,7.73E+00
-12.70,1.79E-03,7.73E+00
-12.60,1.79E-03,7.73E+00
-12.50,1.79E-03,7.73E+00
-12.40,1.79E-03,7.73E+00
